price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,new_price
221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180.0,0,1955,0,1340,5650,324016.59375
538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170.0,400,1951,1991,1690,7639,669518.3125
180000.0,2,1.0,770,10000,1.0,0,0,3,6,770.0,0,1933,0,2720,8062,180636.703125
604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050.0,910,1965,0,1360,5000,464378.25
510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680.0,0,1987,0,1800,7503,320343.0
1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890.0,1530,2001,0,4760,101930,1149023.125
257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715.0,0,1995,0,2238,6819,398546.5625
291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060.0,0,1963,0,1650,9711,265281.25
229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050.0,730,1960,0,1780,8113,267781.34375
323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890.0,0,2003,0,2390,7570,363363.5625
468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860.0,300,1942,0,1330,6000,394727.8125
310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430.0,0,1927,0,1780,12697,298390.96875
400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370.0,0,1977,0,1370,10208,261332.734375
530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810.0,0,1900,0,1360,4850,551526.0625
650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980.0,970,1979,0,2140,4000,822589.875
395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890.0,0,1994,0,1890,14018,410829.15625
189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200.0,0,1921,0,1060,5095,373358.3125
230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250.0,0,1969,0,1280,8850,244997.71875
385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860.0,760,1947,0,1400,4980,514605.6875
2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330.0,720,1968,0,4110,20336,1056848.0
285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270.0,0,1995,0,2240,7005,311817.875
252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070.0,0,1985,0,1220,8386,223726.875
329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450.0,0,1985,0,2200,6865,324538.6875
233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710.0,0,1941,0,1030,4705,270950.125
937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750.0,700,1915,0,1760,3573,794888.625
667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400.0,0,1909,0,1860,3861,678277.25
438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790.0,730,1948,0,1520,6235,503011.71875
719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570.0,0,2005,0,2630,6026,387560.8125
580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320.0,0,2003,0,2580,3980,484950.375
280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190.0,0,2005,0,1390,1756,253434.171875
687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510.0,820,1929,0,1460,5000,581744.0625
535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090.0,0,1929,0,1570,5080,523008.65625
322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280.0,780,1981,0,2020,8720,348276.875
696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510.0,790,1930,2002,1590,3264,775473.25
